省份,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合计
中央,0,0,1,0,0,1,0,0,0,0,2,2,6
北京,0,1,0,0,0,1,0,1,1,6,54,1,65
天津,0,3,1,0,4,0,2,6,3,3,1,5,28
河北,0,0,0,0,0,0,0,0,0,0,0,0,0
山西,17,30,48,8,31,96,34,72,44,19,24,13,436
内蒙古,89,55,171,45,54,19,10,5,2,10,4,4,468
辽宁,51,83,377,20,6,43,94,31,81,16,57,50,909
吉林,0,0,5,3,6,2,4,5,0,2,6,4,37
黑龙江,4,66,38,183,104,21,34,86,129,41,32,13,751
上海,0,0,0,1,0,0,1,15,0,0,112,1,130
江苏,0,0,0,0,0,0,0,0,0,0,0,0,0
浙江,0,0,0,0,0,0,0,0,0,0,0,0,0
安徽,5,83,30,31,66,68,70,67,28,79,90,254,871
福建,6,5,4,4,2,1,2,40,12,2,8,1,87
江西,0,0,0,1,1,1,2,1,1,1,1,208,217
山东,0,0,1,4,0,2,6,4,3,1,3,3,27
河南,0,0,0,0,0,0,0,0,0,0,0,0,0
湖北,2,3,12,10,5,43,47,158,56,29,62,120,547
湖南,0,0,0,0,0,0,0,0,0,0,0,0,0
广东,18,10,18,6,21,9,12,10,16,19,72,88,299
广西,21,4,18,41,6,13,21,23,8,3,27,7,192
海南,0,0,1,0,0,1,1,0,0,0,0,0,3
重庆,0,4,0,0,1,0,1,45,3,1,2,4,61
四川,28,91,116,32,50,252,87,161,13,153,57,105,1145
贵州,4,2,2,0,1,2,2,8,3,1,1,4,30
云南,48,88,96,93,112,387,63,406,187,115,255,344,2194
西藏,3,8,30,17,21,12,6,13,7,20,8,7,152
陕西,0,1,2,1,6,6,0,3,10,8,8,12,57
甘肃,3,4,6,6,1,4,8,4,5,3,5,4,53
青海,3,49,4,6,13,17,2,0,22,13,34,41,204
宁夏,3,0,1,0,1,0,0,0,0,0,0,6,11
新疆,22,53,165,114,130,47,93,53,50,28,38,33,826
全国,327,643,1147,626,642,1048,602,1217,684,573,963,1334,9806
